sku,nombre,categoria,stock_actual,stock_minimo,unidades_faltantes,valor_inventario
SKU00176,Bocina Acer,Audio,0,50,50,0.00
SKU01280,Barra Sonido Apple,Audio,0,50,50,0.00
SKU01500,NAS Corsair,Almacenamiento,0,50,50,0.00
SKU01680,Monitor Curvo Canon,Electronica,0,50,50,0.00
SKU02868,Mouse Ergonomico HP,Accesorios,0,50,50,0.00
SKU02915,Microfono USB Xiaomi,Audio,0,50,50,0.00
SKU06801,Barra Sonido Asus,Audio,0,50,50,0.00
SKU07831,Mouse Ergonomico Epson,Accesorios,0,50,50,0.00
SKU09158,SSD Samsung,Almacenamiento,0,50,50,0.00
SKU10106,Mouse Ergonomico,Accesorios,0,50,50,0.00
SKU10281,Monitor Kingston,Electronica,0,50,50,0.00
SKU10308,USB Drive Xiaomi,Almacenamiento,0,50,50,0.00
SKU12847,Microfono HP,Audio,0,50,50,0.00
SKU15741,NAS Lenovo,Almacenamiento,0,50,50,0.00
SKU18055,SSD Sony,Almacenamiento,0,50,50,0.00
SKU18661,SSD Acer,Almacenamiento,0,50,50,0.00
SKU22178,SSD Xiaomi,Almacenamiento,0,50,50,0.00
SKU22742,Procesador Asus,Componentes,0,50,50,0.00
SKU23123,Mouse Ergonomico Asus,Accesorios,0,50,50,0.00
SKU23638,Barra Sonido Samsung,Audio,0,50,50,0.00
SKU24918,Notebook Seagate,Electronica,0,50,50,0.00
SKU24985,USB Drive MSI,Almacenamiento,0,50,50,0.00
SKU27615,Procesador WD,Componentes,0,50,50,0.00
SKU30261,Mousepad,Accesorios,0,50,50,0.00
SKU30453,Impresora Laser,Impresion,0,50,50,0.00
SKU30474,NAS Asus,Almacenamiento,0,50,50,0.00
SKU30694,Monitor 4K Canon,Electronica,0,50,50,0.00
SKU32220,Cargador,Accesorios,0,50,50,0.00
SKU32747,Procesador Anker,Componentes,0,50,50,0.00
SKU34884,Mouse Gaming Logitech,Accesorios,0,50,50,0.00
SKU35728,Mouse Ergonomico Acer,Accesorios,0,50,50,0.00
SKU36454,Ultrabook LG,Electronica,0,50,50,0.00
SKU37782,Monitor 4K Corsair,Electronica,0,50,50,0.00
SKU38969,Notebook Corsair,Electronica,0,50,50,0.00
SKU39566,Chromebook BenQ,Electronica,0,50,50,0.00
SKU43204,Monitor Curvo HP,Electronica,0,50,50,0.00
SKU43529,MacBook Samsung,Electronica,0,50,50,0.00
SKU43560,Cable USB C,Cables,0,50,50,0.00
SKU44571,Monitor 4K Asus,Electronica,0,50,50,0.00
SKU45279,Pantalla Portatil Samsung,Electronica,0,50,50,0.00
SKU45455,MicroSD Lenovo,Almacenamiento,0,50,50,0.00
SKU47247,Toner,Impresion,0,50,50,0.00
SKU48331,Mouse HP,Accesorios,0,50,50,0.00
SKU48536,Audifonos Gaming SanDisk,Audio,0,50,50,0.00
SKU49034,Cable HDMI,Cables,0,50,50,0.00
SKU50117,Stylus Gigabyte,Accesorios,0,50,50,0.00
SKU50456,Microfono,Audio,0,50,50,0.00
SKU52054,Stylus LG,Accesorios,0,50,50,0.00
SKU52068,RAM TP-Link,Componentes,0,50,50,0.00
SKU53919,Mouse Gaming Acer,Accesorios,0,50,50,0.00
SKU54995,Mouse Ergonomico SanDisk,Accesorios,0,50,50,0.00
SKU55180,Microfono USB LG,Audio,0,50,50,0.00
SKU55495,Mouse Gaming HyperX,Accesorios,0,50,50,0.00
SKU58278,HDD Externo Xiaomi,Almacenamiento,0,50,50,0.00
SKU58619,Touchpad Canon,Accesorios,0,50,50,0.00
SKU60074,Stylus SanDisk,Accesorios,0,50,50,0.00
SKU60302,Microfono USB Seagate,Audio,0,50,50,0.00
SKU61622,Mouse Ergonomico Corsair,Accesorios,0,50,50,0.00
SKU62199,Touchpad BenQ,Accesorios,0,50,50,0.00
SKU62310,Barra Sonido MSI,Audio,0,50,50,0.00
SKU63080,Bocina Bluetooth Kingston,Audio,0,50,50,0.00
SKU63763,Ultrabook Apple,Electronica,0,50,50,0.00
SKU64674,MacBook Dell,Electronica,0,50,50,0.00
SKU65761,Teclado Gaming HP,Accesorios,0,50,50,0.00
SKU66586,Banda Inteligente,Electronica,0,50,50,0.00
SKU67170,Mouse Gaming Dell,Accesorios,0,50,50,0.00
SKU67332,Monitor Curvo Sony,Electronica,0,50,50,0.00
SKU68979,Teclado Gaming SanDisk,Accesorios,0,50,50,0.00
SKU69347,SSD Externo TP-Link,Almacenamiento,0,50,50,0.00
SKU69464,Audifonos Bluetooth Acer,Audio,0,50,50,0.00
SKU70181,MacBook Apple,Electronica,0,50,50,0.00
SKU70384,Mouse Gaming Apple,Accesorios,0,50,50,0.00
SKU70776,Audifonos Gaming Epson,Audio,0,50,50,0.00
SKU71074,Audifonos WD,Audio,0,50,50,0.00
SKU71540,Cargador Inalambrico,Accesorios,0,50,50,0.00
SKU73186,Audifonos Gaming Lenovo,Audio,0,50,50,0.00
SKU73453,NAS MSI,Almacenamiento,0,50,50,0.00
