sku,nombre,categoria,stock_actual,stock_minimo,unidades_faltantes,valor_inventario
SKU00204,Licencia Antivirus,Software,0,50,50,0.00
SKU01081,Soporte Laptop,Accesorios,0,50,50,0.00
SKU03488,Procesador Razer,Componentes,0,50,50,0.00
SKU05327,MacBook LG,Electronica,0,50,50,0.00
SKU06579,Teclado Samsung,Accesorios,0,50,50,0.00
SKU06896,HDD Externo HyperX,Almacenamiento,0,50,50,0.00
SKU06936,NAS TP-Link,Almacenamiento,0,50,50,0.00
SKU07605,Stylus Kingston,Accesorios,0,50,50,0.00
SKU07703,Ultrabook Canon,Electronica,0,50,50,0.00
SKU07785,Chromebook Acer,Electronica,0,50,50,0.00
SKU08056,Notebook Epson,Electronica,0,50,50,0.00
SKU08456,Audifonos Gaming Acer,Audio,0,50,50,0.00
SKU09507,Audifonos Bluetooth WD,Audio,0,50,50,0.00
SKU10871,Microfono Acer,Audio,0,50,50,0.00
SKU10940,Monitor Gaming LG,Electronica,0,50,50,0.00
SKU11622,Barra Sonido Xiaomi,Audio,0,50,50,0.00
SKU12732,Audifonos LG,Audio,0,50,50,0.00
SKU13480,Teclado Gaming Dell,Accesorios,0,50,50,0.00
SKU14126,HDD Externo Sony,Almacenamiento,0,50,50,0.00
SKU14171,Audifonos Bluetooth,Audio,0,50,50,0.00
SKU14717,Monitor Gaming Lenovo,Electronica,0,50,50,0.00
SKU14876,Teclado Lenovo,Accesorios,0,50,50,0.00
SKU18148,RAM Acer,Componentes,0,50,50,0.00
SKU20096,Audifonos Gaming Dell,Audio,0,50,50,0.00
SKU20456,Barra Sonido WD,Audio,0,50,50,0.00
SKU20894,Monitor 4K Gigabyte,Electronica,0,50,50,0.00
SKU21704,Procesador LG,Componentes,0,50,50,0.00
SKU22899,Barra Sonido SanDisk,Audio,0,50,50,0.00
SKU23470,Monitor Gaming Seagate,Electronica,0,50,50,0.00
SKU23626,MacBook HyperX,Electronica,0,50,50,0.00
SKU23849,Microfono LG,Audio,0,50,50,0.00
SKU24502,Audifonos Gaming,Audio,0,50,50,0.00
SKU24638,Pantalla Portatil WD,Electronica,0,50,50,0.00
SKU24827,RAM Canon,Componentes,0,50,50,0.00
SKU26380,Teclado Apple,Accesorios,0,50,50,0.00
SKU29434,SSD WD,Almacenamiento,0,50,50,0.00
SKU31253,NAS Kingston,Almacenamiento,0,50,50,0.00
SKU31710,Laptop Epson,Electronica,0,50,50,0.00
SKU31930,Mouse Gaming WD,Accesorios,0,50,50,0.00
SKU32922,HDD Logitech,Almacenamiento,0,50,50,0.00
SKU33238,Audifonos Gaming Acer,Audio,0,50,50,0.00
SKU33456,Pantalla Portatil Apple,Electronica,0,50,50,0.00
SKU34502,Mouse Ergonomico Corsair,Accesorios,0,50,50,0.00
